"method","setting","regime","rep","hits","fp"
"smuce","family = ""hsmuce""","heavy",2,2,0
"smuce","family = ""hsmuce""","heavy",3,2,0
"smuce","family = ""hsmuce""","heavy",4,2,0
"smuce","family = ""hsmuce""","heavy",5,2,0
"smuce","family = ""hsmuce""","heavy",6,2,0
"smuce","family = ""hsmuce""","heavy",7,2,0
"smuce","family = ""hsmuce""","heavy",8,2,0
"smuce","family = ""hsmuce""","heavy",9,2,0
"smuce","family = ""hsmuce""","heavy",10,2,0
"smuce","family = ""hsmuce""","ar1",1,1,4
"smuce","family = ""hsmuce""","ar1",2,2,2
"smuce","family = ""hsmuce""","ar1",3,1,3
"smuce","family = ""hsmuce""","ar1",4,2,1
"smuce","family = ""hsmuce""","ar1",5,2,2
"smuce","family = ""hsmuce""","ar1",6,2,2
"smuce","family = ""hsmuce""","ar1",7,2,1
"smuce","family = ""hsmuce""","ar1",8,2,3
"smuce","family = ""hsmuce""","ar1",9,1,4
"smuce","family = ""hsmuce""","ar1",10,1,6
"smuce","family = ""hsmuce""","hetero",1,2,0
"smuce","family = ""hsmuce""","hetero",2,2,0
"smuce","family = ""hsmuce""","hetero",3,2,0
"smuce","family = ""hsmuce""","hetero",4,2,0
"smuce","family = ""hsmuce""","hetero",5,2,0
"smuce","family = ""hsmuce""","hetero",6,2,0
"smuce","family = ""hsmuce""","hetero",7,2,0
"smuce","family = ""hsmuce""","hetero",8,2,0
"smuce","family = ""hsmuce""","hetero",9,2,0
"smuce","family = ""hsmuce""","hetero",10,2,0
"hsmuce","default","iid",1,2,0
"hsmuce","default","iid",2,2,0
"hsmuce","default","iid",3,2,0
"hsmuce","default","iid",4,2,0
"hsmuce","default","iid",5,2,0
"hsmuce","default","iid",6,2,0
"hsmuce","default","iid",7,2,0
"hsmuce","default","iid",8,2,0
"hsmuce","default","iid",9,2,0
"hsmuce","default","iid",10,2,0
"hsmuce","default","heavy",1,2,1
"hsmuce","default","heavy",2,2,0
"hsmuce","default","heavy",3,2,0
"hsmuce","default","heavy",4,2,0
"hsmuce","default","heavy",5,2,0
"hsmuce","default","heavy",6,2,0
"hsmuce","default","heavy",7,2,0
"hsmuce","default","heavy",8,2,0
"hsmuce","default","heavy",9,2,0
"hsmuce","default","heavy",10,2,0
"hsmuce","default","ar1",1,1,4
"hsmuce","default","ar1",2,2,2
"hsmuce","default","ar1",3,1,3
"hsmuce","default","ar1",4,2,1
"hsmuce","default","ar1",5,2,2
"hsmuce","default","ar1",6,2,2
"hsmuce","default","ar1",7,2,1
"hsmuce","default","ar1",8,2,3
"hsmuce","default","ar1",9,1,4
"hsmuce","default","ar1",10,1,6
"hsmuce","default","hetero",1,2,0
"hsmuce","default","hetero",2,2,0
"hsmuce","default","hetero",3,2,0
"hsmuce","default","hetero",4,2,0
"hsmuce","default","hetero",5,2,0
"hsmuce","default","hetero",6,2,0
"hsmuce","default","hetero",7,2,0
"hsmuce","default","hetero",8,2,0
"hsmuce","default","hetero",9,2,0
"hsmuce","default","hetero",10,2,0
"cpop","default","iid",1,1,0
"cpop","default","iid",2,2,0
"cpop","default","iid",3,2,0
"cpop","default","iid",4,2,0
"cpop","default","iid",5,2,0
"cpop","default","iid",6,1,1
"cpop","default","iid",7,2,0
"cpop","default","iid",8,1,0
"cpop","default","iid",9,2,0
"cpop","default","iid",10,1,0
"cpop","default","heavy",1,2,0
"cpop","default","heavy",2,2,3
"cpop","default","heavy",3,1,2
"cpop","default","heavy",4,2,0
"cpop","default","heavy",5,2,0
"cpop","default","heavy",6,2,0
"cpop","default","heavy",7,2,0
"cpop","default","heavy",8,2,0
"cpop","default","heavy",9,1,3
"cpop","default","heavy",10,2,0
"cpop","default","ar1",1,2,8
"cpop","default","ar1",2,2,15
"cpop","default","ar1",3,2,14
"cpop","default","ar1",4,1,12
"cpop","default","ar1",5,2,15
"cpop","default","ar1",6,2,15
"cpop","default","ar1",7,1,12
"cpop","default","ar1",8,2,10
"cpop","default","ar1",9,1,15
"cpop","default","ar1",10,2,21
"cpop","default","hetero",1,1,0
"cpop","default","hetero",2,1,0
"cpop","default","hetero",3,1,0
"cpop","default","hetero",4,1,0
"cpop","default","hetero",5,1,0
"cpop","default","hetero",6,0,3
"cpop","default","hetero",7,1,0
"cpop","default","hetero",8,0,1
"cpop","default","hetero",9,0,2
"cpop","default","hetero",10,0,1
